time, AirTemp,RelHum,WindSpeed,Rain,Cloud,ShortWave,Snow
2008-01-01,0.474,100,3.634,0.005372,1.56025,18.4699074,0
2008-01-02,-0.71,100,5.396,0.000284,1.3135,17.75,0.0568
2008-01-03,-5.535,100,9.045,0,1.164375,9.6875,0.054
2008-01-04,-6.49,79.2,7.04,0,0.56375,35.90277778,0.033
2008-01-05,-1.032,66.22,4.386,0.000344,0.72025,12.54166666,0.0172
2008-01-06,1.737,100,5.597,0.005597,1.568125,14.96643519,0.0193
2008-01-07,4.212,100,5.832,0.008262,1.053,28.125,0
2008-01-08,7.36,100,8.64,0,0.98,59.62962963,0
2008-01-09,2.244,52.14,2.442,0.000396,0.33825,20.77777778,0
2008-01-10,3.567,71.34,3.654,0,0.36975,37.15625,0
2008-01-11,9.3,89.28,5.208,0,0.8215,32.86574074,0
2008-01-12,8.832,100,8.64,0,1.656,33.11111111,0
2008-01-13,4.93,100,4.64,0,0.10875,77.19907407,0
2008-01-14,6.992,100,7.544,0,0.69,81.13888888,0
2008-01-15,6.771,79.92,6.327,0,0.86025,51.00347222,0
2008-01-16,11.786,100,8.3,0.00083,1.39025,30.93287037,0
2008-01-17,8.584,100,4.736,0.003256,1.0915,57.04166667,0
2008-01-18,12.74,100,9.464,0.012012,1.66075,39.8125,0
2008-01-19,6.138,60.06,3.762,0.007392,0.60225,5.5,0
2008-01-20,11.534,100,6.278,0.05037,1.4235,10.30787037,0
2008-01-21,14.256,100,7.938,0.044388,1.62,9.9375,0
2008-01-22,3.552,89.91,5.661,0,0.874125,19.65625,0
2008-01-23,4.284,100,5.661,0.00153,1.243125,84.64583333,0
2008-01-24,7.1,85,5.4,0.0019,1,13.42592593,0
2008-01-25,5.841,68.31,8.316,0,0.655875,64.39583334,0
2008-01-26,11.771,100,14.453,0.006854,1.471375,24.31597222,0
2008-01-27,11.529,100,9.639,0.010584,1.488375,15.96875,0
2008-01-28,4.655,88.35,1.995,0.000665,0.78375,19.79166666,0
2008-01-29,7.36,100,3.22,0,1.0925,24.09143518,0
2008-01-30,5.029,86.67,3.852,0.001605,1.056625,28.3599537,0
2008-01-31,2.46,62.32,5.002,0.00041,0.66625,41.37962963,0
2008-02-01,5.4,62.1,7.11,0,0.8325,30.52083334,0
2008-02-02,3.944,100,7.48,0.001224,0.714,51.62962963,0
2008-02-03,2.656,100,6.474,0,0.47725,119.5046296,0
2008-02-04,5.928,100,5.772,0,0.468,121.875,0
2008-02-05,8.16,100,6.12,0.000544,1.122,77.12962963,0
2008-02-06,15.92,100,11.343,0.003184,1.84075,-230.09375,0
2008-02-07,5.049,74.25,5.445,0,0.779625,54.08333333,0
2008-02-08,5.332,64.5,1.978,0,0.774,30.85648148,0
2008-02-09,4.38,45.6,0.66,0.00006,0.3825,38.54166667,0
2008-02-10,3.808,53.04,0.68,0,0.3485,58.55555555,0
2008-02-11,3.154,72.21,1.328,0,0.549875,60.13657407,0
2008-02-12,4.081,62.37,1.617,0,0.721875,15.59606482,0
2008-02-13,2.15,35,1.1,0.00005,0.3625,29.57175926,0
2008-02-14,3.915,100,3.045,0.000145,1.26875,19.97106482,0
2008-02-15,-0.873,63.05,2.619,0,0.157625,88.46759259,0
2008-02-16,-3.432,100,2.808,0,0.351,138.8472222,0
2008-02-17,-0.707,64.64,4.444,0,0.606,75.28240741,0
2008-02-18,2.146,51.62,3.248,0.000174,0.58,6.175925927,0
2008-02-19,9.024,100,6.72,0.001536,1.896,35.33333334,0
2008-02-20,3.54,46.8,1.56,0,0.5175,61.80555558,0
2008-02-21,12.348,100,10.388,0.001176,1.764,132.2546296,0
2008-02-22,10.584,85.32,9.828,0.000324,1.08,20.875,0
2008-02-23,8.16,60.48,6.912,0,0.612,92.33333334,0
2008-02-24,16.074,100,6.84,0.000855,1.197,173.5729166,0
2008-02-25,7.735,91.63,4.522,0.001904,0.907375,99.44212962,0
